state,year,quater,transaction_count,transaction_amount
tamil nadu,2020,3,70277825,143841415498.65747
uttar pradesh,2020,3,127405259,248689955423.05322
madhya pradesh,2020,3,108579881,205701679984.53757
andhra pradesh,2020,3,204902935,467084130584.93884
tripura,2020,3,1317885,2341819516.215885
lakshadweep,2020,3,8589,21306833.308656827
manipur,2020,3,1420168,4615976120.870485
maharashtra,2020,3,268310924,440307079012.4761
dadra & nagar haveli & daman & diu,2020,3,1138312,1749789114.9993598
meghalaya,2020,3,597579,1237059001.3830369
andaman & nicobar islands,2020,3,117483,338019446.3303601
haryana,2020,3,57938179,109567950445.72871
rajasthan,2020,3,149088676,293678306162.4698
ladakh,2020,3,228222,835487500.058193
punjab,2020,3,17209573,40123092147.81354
assam,2020,3,12397711,29831391259.543846
jharkhand,2020,3,27068473,50622615820.01348
odisha,2020,3,66033829,122463943804.29193
bihar,2020,3,71503748,173328865111.8144
kerala,2020,3,21758680,40164150651.95372
karnataka,2020,3,300360531,470740515696.6945
chandigarh,2020,3,2158086,5089809353.36507
telangana,2020,3,236372126,505961144755.88367
himachal pradesh,2020,3,5489876,10516054014.086905
west bengal,2020,3,79954504,156813355855.1383
gujarat,2020,3,59290179,111921752484.70932
sikkim,2020,3,596435,1400926728.6603994
nagaland,2020,3,736319,2009649143.1547942
mizoram,2020,3,254703,707944175.5046022
chhattisgarh,2020,3,24148539,41526744807.53401
jammu & kashmir,2020,3,3465898,11977229760.872362
goa,2020,3,1915531,3368343580.9446573
arunachal pradesh,2020,3,962827,2609938565.55822
delhi,2020,3,96491861,175163962804.6604
uttarakhand,2020,3,11818935,22103510968.006454
puducherry,2021,4,6368810,10423651801.230518
tamil nadu,2021,4,259155976,443723952594.79407
uttar pradesh,2021,4,406157932,773890970072.1896
madhya pradesh,2021,4,404308084,656887492404.479
andhra pradesh,2021,4,522254003,1156264447083.9226
tripura,2021,4,2520693,5496929464.299448
lakshadweep,2021,4,15470,50998185.528381005
manipur,2021,4,4687439,12658472038.211857
maharashtra,2021,4,1010731502,1475358473128.29
dadra & nagar haveli & daman & diu,2021,4,4157085,5565839386.3306675
meghalaya,2021,4,1440193,3848765400.1861496
andaman & nicobar islands,2021,4,636123,1932610101.3236554
haryana,2021,4,169686975,309240599300.4638
rajasthan,2021,4,487621597,903934418544.2667
ladakh,2021,4,630187,2153535138.7802677
punjab,2021,4,52359360,110710126241.99957
assam,2021,4,46020361,104184967893.21591
jharkhand,2021,4,96009042,166017119003.7058
odisha,2021,4,233925366,385251049689.91846
bihar,2021,4,245126945,519371614068.7477
kerala,2021,4,81823741,123342136943.36395
karnataka,2021,4,931725438,1375471324349.8777
chandigarh,2021,4,7898903,14373583510.61845
telangana,2021,4,775989773,1463758189500.9146
himachal pradesh,2021,4,14666864,26136220500.625923
west bengal,2021,4,225029560,462218037262.097
gujarat,2021,4,182987325,342382580053.62726
sikkim,2021,4,1584345,4196783261.6358047
nagaland,2021,4,1631483,4939083784.136465
mizoram,2021,4,553329,1770665741.5230405
chhattisgarh,2021,4,84717494,136399110518.81381
jammu & kashmir,2021,4,16790628,38926237425.771454
goa,2021,4,11088759,18627257115.86965
arunachal pradesh,2021,4,2390598,6943510352.611343
delhi,2021,4,292683359,488695314062.3906
uttarakhand,2021,4,40361280,66148108159.422195
puducherry,2021,2,3751387,6498834696.543897
tamil nadu,2021,2,146158442,263487341026.54623
uttar pradesh,2021,2,241949131,482172489166.39343
madhya pradesh,2021,2,223314680,425500768035.631
andhra pradesh,2021,2,352767134,850737499108.2986
tripura,2021,2,1744429,3468154361.036266
lakshadweep,2021,2,11384,27383463.657951534
manipur,2021,2,3086275,7889827962.396657
maharashtra,2021,2,573616486,915115055623.7152
dadra & nagar haveli & daman & diu,2021,2,2125083,3157668461.418905
meghalaya,2021,2,909594,2193617254.8905916
andaman & nicobar islands,2021,2,341414,899147016.1122956
haryana,2021,2,105680856,200357354238.6818
rajasthan,2021,2,287477039,561702765169.2324
ladakh,2021,2,399716,1427259095.4703174
punjab,2021,2,32171248,69531058562.6159
assam,2021,2,25432905,59192473376.66449
jharkhand,2021,2,54002145,104432643311.45735
odisha,2021,2,131824337,245864117477.27853
bihar,2021,2,155603622,374580255186.58875
kerala,2021,2,47191033,74226806436.15614
karnataka,2021,2,530649046,837887151230.051
chandigarh,2021,2,4417547,8417673939.9361
telangana,2021,2,495867544,1027958332797.5902
himachal pradesh,2021,2,9483902,16495634539.809265
west bengal,2021,2,141897437,279434811058.5615
gujarat,2021,2,111841396,210162054552.1156
sikkim,2021,2,976714,2424899579.6753
nagaland,2021,2,1130791,3156293963.781851
mizoram,2021,2,394340,1122874473.3020918
chhattisgarh,2021,2,44689420,78728771259.22594
jammu & kashmir,2021,2,10027819,22813755428.591625
goa,2021,2,4710135,8012853587.075999
arunachal pradesh,2021,2,1568338,4456425616.994377
delhi,2021,2,170157264,281941097684.5416
uttarakhand,2021,2,24000432,40990817874.83847
puducherry,2021,1,3309432,5899309571.743641
tamil nadu,2021,1,136556674,248668143873.65317
uttar pradesh,2021,1,204499547,396287587577.5575
madhya pradesh,2021,1,201998498,343533954382.3015
andhra pradesh,2021,1,289747970,672444670176.5881
tripura,2021,1,1511423,3335341569.793424
lakshadweep,2021,1,9085,27042782.914081153
manipur,2021,1,2303535,7070287514.479244
maharashtra,2021,1,517860240,769887352153.2483
dadra & nagar haveli & daman & diu,2021,1,1925244,2965632911.1935043
meghalaya,2021,1,747646,2055515277.9898345
andaman & nicobar islands,2021,1,244752,783706567.3897561
haryana,2021,1,90252784,168938301082.4288
rajasthan,2021,1,252730919,491492581657.63354
ladakh,2021,1,275415,983419813.2468786
punjab,2021,1,26770835,58690887091.106735
assam,2021,1,19512060,51326464546.12217
jharkhand,2021,1,44621663,83749353123.13824
odisha,2021,1,111460358,213397736188.33783
bihar,2021,1,114932477,280973649701.2259
kerala,2021,1,42316342,69260970161.89497
karnataka,2021,1,523797492,754995357412.3948
chandigarh,2021,1,3970237,7596420859.545994
telangana,2021,1,412572110,799359264046.5657
himachal pradesh,2021,1,7614029,14120546909.487547
west bengal,2021,1,118254052,242937207475.5198
gujarat,2021,1,94774565,183700780713.44968
sikkim,2021,1,800189,2217667726.8407273
nagaland,2021,1,975897,3107450484.613187
mizoram,2021,1,329575,1101105586.9459367
chhattisgarh,2021,1,39436437,69409843261.55008
jammu & kashmir,2021,1,6997570,17138349893.151793
goa,2021,1,5331549,9757242879.021431
arunachal pradesh,2021,1,1177456,3813779079.0166435
delhi,2021,1,157359004,266928345043.49225
uttarakhand,2021,1,20608402,36288189399.89833
puducherry,2021,3,5121726,8729974431.01447
tamil nadu,2021,3,204357404,365207323053.92737
uttar pradesh,2021,3,306543384,557080841279.8989
madhya pradesh,2021,3,311443334,504412603851.499
andhra pradesh,2021,3,432032550,984218035564.122
tripura,2021,3,2081200,4364133768.181473
lakshadweep,2021,3,13370,38803163.698768154
manipur,2021,3,3941396,10406861028.904892
maharashtra,2021,3,792874060,1159257305167.4517
dadra & nagar haveli & daman & diu,2021,3,3129470,4305939102.791508
meghalaya,2021,3,1097731,2769000451.527979
andaman & nicobar islands,2021,3,449764,1310024395.8016036
haryana,2021,3,140459693,240827092259.20697
rajasthan,2021,3,400284753,710511328542.4896
ladakh,2021,3,590987,2213984743.93459
punjab,2021,3,42533489,85992560840.61221
assam,2021,3,33504441,75700499273.30748
jharkhand,2021,3,70795702,121891015118.8533
odisha,2021,3,177362674,303780718933.0267
bihar,2021,3,187671113,397062760956.3983
kerala,2021,3,63028266,101686161773.12894
karnataka,2021,3,753296539,1133234739157.5984
chandigarh,2021,3,6649378,11815883004.693302
telangana,2021,3,622886768,1178289126292.262
himachal pradesh,2021,3,12064167,21310262071.128155
west bengal,2021,3,181712988,362457066256.5059
gujarat,2021,3,149248407,272624626113.58765
sikkim,2021,3,1160594,2989336863.8083954
nagaland,2021,3,1356792,3987416848.005447
mizoram,2021,3,478529,1473748650.2119522
chhattisgarh,2021,3,64237938,104606108262.77591
jammu & kashmir,2021,3,13151041,31598443648.03224
goa,2021,3,6467763,10478425592.936367
arunachal pradesh,2021,3,1906967,5678124175.298816
delhi,2021,3,238760608,383858316548.281
uttarakhand,2021,3,31042284,50527496783.56469
puducherry,2024,4,16559677,19965392547.0
tamil nadu,2024,4,820423888,1087632875606.0
uttar pradesh,2024,4,2544890265,3214106522459.0
madhya pradesh,2024,4,1685401835,2003305068845.0
andhra pradesh,2024,4,2296445544,3452015568966.0
tripura,2024,4,15945159,22409905268.0
lakshadweep,2024,4,197777,247756681.0
manipur,2024,4,5750423,12061708556.0
maharashtra,2024,4,3634231839,4151028450887.0
dadra & nagar haveli & daman & diu,2024,4,28463700,23945221461.0
meghalaya,2024,4,14166380,19674927433.0
andaman & nicobar islands,2024,4,6063900,8920944773.0
haryana,2024,4,841394290,1031959359354.0
rajasthan,2024,4,2043469547,2793049371408.0
ladakh,2024,4,5711284,10854417654.0
punjab,2024,4,199509220,289125652032.0
assam,2024,4,332441531,382786405959.0
jharkhand,2024,4,586904686,704010501034.0
odisha,2024,4,1143097568,1305457593239.0
bihar,2024,4,1559667675,2098927476047.0
kerala,2024,4,233112441,273639970566.0
karnataka,2024,4,3455056424,4151819803822.0
chandigarh,2024,4,18528444,20501385889.0
telangana,2024,4,2822451603,3859050535418.0
himachal pradesh,2024,4,53798398,63736996234.0
west bengal,2024,4,1227135682,1810100029406.0
gujarat,2024,4,827374966,1076014501422.0
sikkim,2024,4,8916870,12641101398.0
nagaland,2024,4,7921552,13959098676.0
mizoram,2024,4,2702443,4461162922.0
chhattisgarh,2024,4,500655404,576828444625.0
jammu & kashmir,2024,4,126261217,160950980732.0
goa,2024,4,46131536,56562589543.0
arunachal pradesh,2024,4,26793457,35079886873.0
delhi,2024,4,910543082,1057060485903.0
uttarakhand,2024,4,171136132,194908790959.0
puducherry,2024,2,14564895,18242009736.0
tamil nadu,2024,2,705083686,985151149866.0
uttar pradesh,2024,2,2135538658,2704223360067.0
madhya pradesh,2024,2,1435472057,1779679946627.0
andhra pradesh,2024,2,1930122300,3181922420088.0
tripura,2024,2,12787547,18137431068.0
lakshadweep,2024,2,109085,146212841.0
manipur,2024,2,5063324,10898000793.0
maharashtra,2024,2,3063494802,3573189333587.0
dadra & nagar haveli & daman & diu,2024,2,23393115,20328992711.0
meghalaya,2024,2,11089661,16794614094.0
andaman & nicobar islands,2024,2,4653224,7295780330.0
haryana,2024,2,738553925,905444595600.0
rajasthan,2024,2,1818855106,2497094537924.0
ladakh,2024,2,5327359,10125723348.0
punjab,2024,2,171946137,244435036984.0
assam,2024,2,271327087,345308670210.0
jharkhand,2024,2,499685871,620115922491.0
odisha,2024,2,944027735,1164839284001.0
bihar,2024,2,1313888385,1886846564676.0
kerala,2024,2,194872467,242003822595.0
karnataka,2024,2,3042012848,3785034703438.0
chandigarh,2024,2,15940973,17556903812.0
telangana,2024,2,2417264357,3461542433312.0
himachal pradesh,2024,2,52583801,59849740702.0
west bengal,2024,2,980480707,1547343815564.0
gujarat,2024,2,690395153,910625046933.0
sikkim,2024,2,7188322,11296518155.0
nagaland,2024,2,5598700,11012913096.0
mizoram,2024,2,1977079,3798477640.0
chhattisgarh,2024,2,412047705,496313432419.0
jammu & kashmir,2024,2,108179014,129061756911.0
goa,2024,2,37000806,47454830712.0
arunachal pradesh,2024,2,19478372,29706351630.0
delhi,2024,2,777540400,896917676180.0
uttarakhand,2024,2,158564982,180612915790.0
puducherry,2024,1,13446950,17386481977.0
tamil nadu,2024,1,640327197,913861111062.0
uttar pradesh,2024,1,1785296948,2477543106639.0
madhya pradesh,2024,1,1286156614,1625420229864.0
andhra pradesh,2024,1,1755428485,3012725669749.0
tripura,2024,1,11042639,17752189374.0
lakshadweep,2024,1,81176,130052381.0
manipur,2024,1,3845564,9242973323.0
maharashtra,2024,1,2835770481,3372898894856.0
dadra & nagar haveli & daman & diu,2024,1,21115009,19519196325.0
meghalaya,2024,1,8531262,15629304658.0
andaman & nicobar islands,2024,1,4184920,6859151835.0
haryana,2024,1,604293500,806788219232.0
rajasthan,2024,1,1599474007,2350500173790.0
ladakh,2024,1,2987101,6085390661.0
punjab,2024,1,142537179,223303420322.0
assam,2024,1,221525056,321183906030.0
jharkhand,2024,1,426759095,559720237073.0
odisha,2024,1,864178452,1156388722536.0
bihar,2024,1,1078734783,1637736864896.0
kerala,2024,1,181463966,227077974738.0
karnataka,2024,1,2796439155,3485248654506.0
chandigarh,2024,1,13155173,15842176181.0
telangana,2024,1,2179385307,3203769301073.0
himachal pradesh,2024,1,39520561,47884231339.0
west bengal,2024,1,836408587,1422025506833.0
gujarat,2024,1,606576671,871619464924.0
sikkim,2024,1,5820146,9455721523.0
nagaland,2024,1,4258924,10044915308.0
mizoram,2024,1,1627016,3630096730.0
chhattisgarh,2024,1,366176684,463009809901.0
jammu & kashmir,2024,1,75116355,93960928941.0
goa,2024,1,35013987,45351900260.0
arunachal pradesh,2024,1,16406414,26047044476.0
delhi,2024,1,650734058,832514031113.0
uttarakhand,2024,1,123234577,150276835263.0
puducherry,2024,3,16008711,19535004396.0
tamil nadu,2024,3,778536701,1050779594821.0
uttar pradesh,2024,3,2285955833,2717475205234.0
madhya pradesh,2024,3,1537738457,1761082466531.0
andhra pradesh,2024,3,2091371362,3226645607489.0
tripura,2024,3,14400581,19948846189.0
lakshadweep,2024,3,157478,192408087.0
manipur,2024,3,5700096,11671516831.0
maharashtra,2024,3,3287403995,3687268662139.0
dadra & nagar haveli & daman & diu,2024,3,25446270,21564631566.0
meghalaya,2024,3,12110124,16292956696.0
andaman & nicobar islands,2024,3,5279250,7663845009.0
haryana,2024,3,794940220,923206681798.0
rajasthan,2024,3,1935405035,2472257715905.0
ladakh,2024,3,6913885,12652871712.0
punjab,2024,3,187554720,256116156529.0
assam,2024,3,295345591,333558308550.0
jharkhand,2024,3,522575883,609909540592.0
odisha,2024,3,1023940349,1177233944634.0
bihar,2024,3,1352876223,1780280473339.0
kerala,2024,3,214695458,258302031309.0
karnataka,2024,3,3261134095,3907202566484.0
chandigarh,2024,3,17708385,19259257876.0
telangana,2024,3,2610137835,3551316976598.0
himachal pradesh,2024,3,49737549,56615941598.0
west bengal,2024,3,1084916445,1607643782237.0
gujarat,2024,3,757441250,963551388101.0
sikkim,2024,3,7713781,10569829072.0
nagaland,2024,3,6981635,12281315168.0
mizoram,2024,3,2360206,3923888231.0
chhattisgarh,2024,3,443640102,497360133758.0
jammu & kashmir,2024,3,119555288,144470345977.0
goa,2024,3,36762111,45913528012.0
arunachal pradesh,2024,3,24447142,31601956705.0
delhi,2024,3,844844523,958203383588.0
uttarakhand,2024,3,159278815,173414867549.0
puducherry,2022,4,7556127,11142204877.174492
tamil nadu,2022,4,436316636,675689667591.437
uttar pradesh,2022,4,836369071,1376378802069.4858
madhya pradesh,2022,4,898828268,1302999857548.291
andhra pradesh,2022,4,690017077,1424725083041.687
tripura,2022,4,5198190,10452971818.154081
lakshadweep,2022,4,17147,54813873.614936255
manipur,2022,4,6428670,15625956698.341496
maharashtra,2022,4,1688775272,2210470839617.1724
dadra & nagar haveli & daman & diu,2022,4,7189585,8059640746.081128
meghalaya,2022,4,3932448,8996541156.34871
andaman & nicobar islands,2022,4,1987535,3984674404.428784
haryana,2022,4,296648365,490490659880.10236
rajasthan,2022,4,865574848,1456956699398.6523
ladakh,2022,4,1083372,2894477572.6789374
punjab,2022,4,91835180,168107427177.94028
assam,2022,4,103981267,192653519187.54803
jharkhand,2022,4,175300092,277971737448.5812
odisha,2022,4,445714743,652217064523.9851
bihar,2022,4,517084649,936012149674.8281
kerala,2022,4,132960468,173559808599.71005
karnataka,2022,4,1378910371,1904516622907.6313
chandigarh,2022,4,17904840,27879754566.939415
telangana,2022,4,1819506832,2978252562916.1367
himachal pradesh,2022,4,28555136,41779343232.37363
west bengal,2022,4,405847597,787775633607.248
gujarat,2022,4,341156018,567918305336.5343
sikkim,2022,4,3058339,6458385389.419817
nagaland,2022,4,2476205,6969966384.314047
mizoram,2022,4,693774,2037911085.2630136
chhattisgarh,2022,4,177960446,252519180810.47455
jammu & kashmir,2022,4,27316158,44315295915.49408
